"","av","Time","SharePerHour"
"7197","Sport exercise",633,3.03
"7198","TV/radio",633,6.3
"7199","Cultural leisure",634,3.37
"7200","Domestic work",634,13.04
"7201","Eat drink",634,5.8
"7202","Miscellaneous",634,2.95
"7203","Nonsocial leisure",634,4.61
"7204","Paid work",634,25.09
"7205","Personal care",634,18.37
"7206","Religion and volunteering",634,0.6
"7207","School / Study",634,11.08
"7208","Social leisure",634,5.83
"7209","Sport exercise",634,3
"7210","TV/radio",634,6.25
"7211","Cultural leisure",635,3.37
"7212","Domestic work",635,13.04
"7213","Eat drink",635,5.78
"7214","Miscellaneous",635,2.95
"7215","Nonsocial leisure",635,4.64
"7216","Paid work",635,25.12
"7217","Personal care",635,18.37
"7218","Religion and volunteering",635,0.6
"7219","School / Study",635,11.06
"7220","Social leisure",635,5.83
"7221","Sport exercise",635,3
"7222","TV/radio",635,6.25
"7223","Cultural leisure",636,3.42
"7224","Domestic work",636,13.09
"7225","Eat drink",636,6.22
"7226","Miscellaneous",636,2.83
"7227","Nonsocial leisure",636,4.96
"7228","Paid work",636,25.09
"7229","Personal care",636,17.53
"7230","Religion and volunteering",636,0.62
"7231","School / Study",636,11.01
"7232","Social leisure",636,5.8
"7233","Sport exercise",636,2.98
"7234","TV/radio",636,6.45
"7235","Cultural leisure",637,3.42
"7236","Domestic work",637,13.07
"7237","Eat drink",637,6.2
"7238","Miscellaneous",637,2.83
"7239","Nonsocial leisure",637,4.96
"7240","Paid work",637,25.09
"7241","Personal care",637,17.56
"7242","Religion and volunteering",637,0.6
"7243","School / Study",637,11.01
"7244","Social leisure",637,5.83
"7245","Sport exercise",637,2.98
"7246","TV/radio",637,6.47
"7247","Cultural leisure",638,3.42
"7248","Domestic work",638,13.09
"7249","Eat drink",638,6.22
"7250","Miscellaneous",638,2.83
"7251","Nonsocial leisure",638,4.96
"7252","Paid work",638,25.09
"7253","Personal care",638,17.51
"7254","Religion and volunteering",638,0.6
"7255","School / Study",638,11.01
"7256","Social leisure",638,5.83
"7257","Sport exercise",638,2.98
"7258","TV/radio",638,6.47
"7259","Cultural leisure",639,3.42
"7260","Domestic work",639,13.09
"7261","Eat drink",639,6.22
"7262","Miscellaneous",639,2.8
"7263","Nonsocial leisure",639,4.96
"7264","Paid work",639,25.09
"7265","Personal care",639,17.51
"7266","Religion and volunteering",639,0.6
"7267","School / Study",639,11.01
"7268","Social leisure",639,5.85
"7269","Sport exercise",639,2.98
"7270","TV/radio",639,6.47
"7271","Cultural leisure",640,3.42
"7272","Domestic work",640,13.09
"7273","Eat drink",640,6.22
"7274","Miscellaneous",640,2.8
"7275","Nonsocial leisure",640,4.96
"7276","Paid work",640,25.09
"7277","Personal care",640,17.51
"7278","Religion and volunteering",640,0.6
"7279","School / Study",640,11.01
"7280","Social leisure",640,5.85
"7281","Sport exercise",640,2.98
"7282","TV/radio",640,6.47
"7283","Cultural leisure",641,3.45
"7284","Domestic work",641,13.41
"7285","Eat drink",641,6.2
"7286","Miscellaneous",641,2.98
"7287","Nonsocial leisure",641,4.81
"7288","Paid work",641,25.17
"7289","Personal care",641,16.59
"7290","Religion and volunteering",641,0.6
"7291","School / Study",641,10.93
"7292","Social leisure",641,6.17
"7293","Sport exercise",641,3.1
"7294","TV/radio",641,6.6
"7295","Cultural leisure",642,3.45
"7296","Domestic work",642,13.41
"7297","Eat drink",642,6.2
"7298","Miscellaneous",642,2.98
"7299","Nonsocial leisure",642,4.81
"7300","Paid work",642,25.17
"7301","Personal care",642,16.54
"7302","Religion and volunteering",642,0.6
"7303","School / Study",642,10.93
"7304","Social leisure",642,6.17
"7305","Sport exercise",642,3.1
"7306","TV/radio",642,6.65
"7307","Cultural leisure",643,3.42
"7308","Domestic work",643,13.39
"7309","Eat drink",643,6.22
"7310","Miscellaneous",643,2.98
"7311","Nonsocial leisure",643,4.81
"7312","Paid work",643,25.17
"7313","Personal care",643,16.56
"7314","Religion and volunteering",643,0.6
"7315","School / Study",643,10.93
"7316","Social leisure",643,6.22
"7317","Sport exercise",643,3.1
"7318","TV/radio",643,6.6
"7319","Cultural leisure",644,3.42
"7320","Domestic work",644,13.39
"7321","Eat drink",644,6.22
"7322","Miscellaneous",644,2.98
"7323","Nonsocial leisure",644,4.81
"7324","Paid work",644,25.22
"7325","Personal care",644,16.51
"7326","Religion and volunteering",644,0.6
"7327","School / Study",644,10.93
"7328","Social leisure",644,6.2
"7329","Sport exercise",644,3.1
"7330","TV/radio",644,6.62
"7331","Cultural leisure",645,3.42
"7332","Domestic work",645,13.39
"7333","Eat drink",645,6.22
"7334","Miscellaneous",645,2.98
"7335","Nonsocial leisure",645,4.81
"7336","Paid work",645,25.22
"7337","Personal care",645,16.51
"7338","Religion and volunteering",645,0.6
"7339","School / Study",645,10.93
"7340","Social leisure",645,6.2
"7341","Sport exercise",645,3.1
"7342","TV/radio",645,6.62
"7343","Cultural leisure",646,3.32
"7344","Domestic work",646,13.69
"7345","Eat drink",646,6.3
"7346","Miscellaneous",646,3.1
"7347","Nonsocial leisure",646,5.08
"7348","Paid work",646,25.32
"7349","Personal care",646,15.03
"7350","Religion and volunteering",646,0.6
"7351","School / Study",646,10.86
"7352","Social leisure",646,6.57
"7353","Sport exercise",646,3.2
"7354","TV/radio",646,6.94
"7355","Cultural leisure",647,3.32
"7356","Domestic work",647,13.69
"7357","Eat drink",647,6.3
"7358","Miscellaneous",647,3.07
"7359","Nonsocial leisure",647,5.08
"7360","Paid work",647,25.32
"7361","Personal care",647,15.03
"7362","Religion and volunteering",647,0.6
"7363","School / Study",647,10.86
"7364","Social leisure",647,6.6
"7365","Sport exercise",647,3.17
"7366","TV/radio",647,6.97
"7367","Cultural leisure",648,3.35
"7368","Domestic work",648,13.66
"7369","Eat drink",648,6.32
"7370","Miscellaneous",648,3.07
"7371","Nonsocial leisure",648,5.11
"7372","Paid work",648,25.32
"7373","Personal care",648,15.03
"7374","Religion and volunteering",648,0.62
"7375","School / Study",648,10.86
"7376","Social leisure",648,6.6
"7377","Sport exercise",648,3.15
"7378","TV/radio",648,6.92
"7379","Cultural leisure",649,3.4
"7380","Domestic work",649,13.64
"7381","Eat drink",649,6.25
"7382","Miscellaneous",649,3.07
"7383","Nonsocial leisure",649,5.11
"7384","Paid work",649,25.32
"7385","Personal care",649,15.05
"7386","Religion and volunteering",649,0.62
"7387","School / Study",649,10.86
"7388","Social leisure",649,6.6
"7389","Sport exercise",649,3.15
"7390","TV/radio",649,6.94
"7391","Cultural leisure",650,3.4
"7392","Domestic work",650,13.69
"7393","Eat drink",650,6.25
"7394","Miscellaneous",650,3.07
"7395","Nonsocial leisure",650,5.08
"7396","Paid work",650,25.32
"7397","Personal care",650,15.05
"7398","Religion and volunteering",650,0.62
"7399","School / Study",650,10.86
"7400","Social leisure",650,6.6
"7401","Sport exercise",650,3.15
"7402","TV/radio",650,6.92
"7403","Cultural leisure",651,3.25
"7404","Domestic work",651,13.66
"7405","Eat drink",651,6.07
"7406","Miscellaneous",651,3.1
"7407","Nonsocial leisure",651,5.18
"7408","Paid work",651,25.27
"7409","Personal care",651,14.75
"7410","Religion and volunteering",651,0.62
"7411","School / Study",651,10.86
"7412","Social leisure",651,6.74
"7413","Sport exercise",651,3.2
"7414","TV/radio",651,7.29
"7415","Cultural leisure",652,3.25
"7416","Domestic work",652,13.69
"7417","Eat drink",652,6.07
"7418","Miscellaneous",652,3.1
"7419","Nonsocial leisure",652,5.18
"7420","Paid work",652,25.27
"7421","Personal care",652,14.7
"7422","Religion and volunteering",652,0.62
"7423","School / Study",652,10.86
"7424","Social leisure",652,6.77
"7425","Sport exercise",652,3.2
"7426","TV/radio",652,7.29
"7427","Cultural leisure",653,3.25
"7428","Domestic work",653,13.74
"7429","Eat drink",653,6.1
"7430","Miscellaneous",653,3.12
"7431","Nonsocial leisure",653,5.18
"7432","Paid work",653,25.27
"7433","Personal care",653,14.58
"7434","Religion and volunteering",653,0.64
"7435","School / Study",653,10.86
"7436","Social leisure",653,6.74
"7437","Sport exercise",653,3.2
"7438","TV/radio",653,7.31
"7439","Cultural leisure",654,3.22
"7440","Domestic work",654,13.74
"7441","Eat drink",654,6.12
"7442","Miscellaneous",654,3.1
"7443","Nonsocial leisure",654,5.18
"7444","Paid work",654,25.27
"7445","Personal care",654,14.58
"7446","Religion and volunteering",654,0.64
"7447","School / Study",654,10.86
"7448","Social leisure",654,6.74
"7449","Sport exercise",654,3.2
"7450","TV/radio",654,7.34
"7451","Cultural leisure",655,3.22
"7452","Domestic work",655,13.74
"7453","Eat drink",655,6.1
"7454","Miscellaneous",655,3.1
"7455","Nonsocial leisure",655,5.18
"7456","Paid work",655,25.27
"7457","Personal care",655,14.6
"7458","Religion and volunteering",655,0.64
"7459","School / Study",655,10.86
"7460","Social leisure",655,6.74
"7461","Sport exercise",655,3.2
"7462","TV/radio",655,7.34
"7463","Cultural leisure",656,3.32
"7464","Domestic work",656,13.49
"7465","Eat drink",656,6.12
"7466","Miscellaneous",656,3.07
"7467","Nonsocial leisure",656,5.16
"7468","Paid work",656,25.29
"7469","Personal care",656,14.41
"7470","Religion and volunteering",656,0.72
"7471","School / Study",656,10.89
"7472","Social leisure",656,6.77
"7473","Sport exercise",656,3.22
"7474","TV/radio",656,7.54
"7475","Cultural leisure",657,3.32
"7476","Domestic work",657,13.44
"7477","Eat drink",657,6.12
"7478","Miscellaneous",657,3.07
"7479","Nonsocial leisure",657,5.16
"7480","Paid work",657,25.29
"7481","Personal care",657,14.38
"7482","Religion and volunteering",657,0.72
"7483","School / Study",657,10.89
"7484","Social leisure",657,6.77
"7485","Sport exercise",657,3.22
"7486","TV/radio",657,7.61
"7487","Cultural leisure",658,3.3
"7488","Domestic work",658,13.44
"7489","Eat drink",658,6.12
"7490","Miscellaneous",658,3.07
"7491","Nonsocial leisure",658,5.16
"7492","Paid work",658,25.29
"7493","Personal care",658,14.38
"7494","Religion and volunteering",658,0.69
"7495","School / Study",658,10.91
"7496","Social leisure",658,6.74
"7497","Sport exercise",658,3.25
"7498","TV/radio",658,7.64
"7499","Cultural leisure",659,3.27
"7500","Domestic work",659,13.41
"7501","Eat drink",659,6.15
"7502","Miscellaneous",659,3.07
"7503","Nonsocial leisure",659,5.18
"7504","Paid work",659,25.29
"7505","Personal care",659,14.33
"7506","Religion and volunteering",659,0.69
"7507","School / Study",659,10.91
"7508","Social leisure",659,6.77
"7509","Sport exercise",659,3.25
"7510","TV/radio",659,7.66
"7511","Cultural leisure",660,3.25
"7512","Domestic work",660,13.44
"7513","Eat drink",660,6.15
"7514","Miscellaneous",660,3.07
"7515","Nonsocial leisure",660,5.18
"7516","Paid work",660,25.29
"7517","Personal care",660,14.33
"7518","Religion and volunteering",660,0.69
"7519","School / Study",660,10.91
"7520","Social leisure",660,6.77
"7521","Sport exercise",660,3.25
"7522","TV/radio",660,7.66
"7523","Cultural leisure",661,3.05
"7524","Domestic work",661,13.74
"7525","Eat drink",661,5.88
"7526","Miscellaneous",661,3.5
"7527","Nonsocial leisure",661,5.6
"7528","Paid work",661,25.14
"7529","Personal care",661,13.27
"7530","Religion and volunteering",661,0.64
"7531","School / Study",661,10.54
"7532","Social leisure",661,7.36
"7533","Sport exercise",661,3.42
"7534","TV/radio",661,7.86
"7535","Cultural leisure",662,3.05
"7536","Domestic work",662,13.76
"7537","Eat drink",662,5.88
"7538","Miscellaneous",662,3.5
"7539","Nonsocial leisure",662,5.63
"7540","Paid work",662,25.14
"7541","Personal care",662,13.19
"7542","Religion and volunteering",662,0.64
"7543","School / Study",662,10.54
"7544","Social leisure",662,7.39
"7545","Sport exercise",662,3.42
"7546","TV/radio",662,7.86
"7547","Cultural leisure",663,3.03
"7548","Domestic work",663,13.84
"7549","Eat drink",663,5.9
"7550","Miscellaneous",663,3.52
"7551","Nonsocial leisure",663,5.68
"7552","Paid work",663,25.12
"7553","Personal care",663,13.17
"7554","Religion and volunteering",663,0.64
"7555","School / Study",663,10.56
"7556","Social leisure",663,7.29
"7557","Sport exercise",663,3.4
"7558","TV/radio",663,7.86
"7559","Cultural leisure",664,3
"7560","Domestic work",664,13.81
"7561","Eat drink",664,5.9
"7562","Miscellaneous",664,3.52
"7563","Nonsocial leisure",664,5.7
"7564","Paid work",664,25.14
"7565","Personal care",664,13.19
"7566","Religion and volunteering",664,0.67
"7567","School / Study",664,10.54
"7568","Social leisure",664,7.29
"7569","Sport exercise",664,3.4
"7570","TV/radio",664,7.84
"7571","Cultural leisure",665,3
"7572","Domestic work",665,13.81
"7573","Eat drink",665,5.93
"7574","Miscellaneous",665,3.52
"7575","Nonsocial leisure",665,5.7
"7576","Paid work",665,25.14
"7577","Personal care",665,13.17
"7578","Religion and volunteering",665,0.67
"7579","School / Study",665,10.54
"7580","Social leisure",665,7.29
"7581","Sport exercise",665,3.4
"7582","TV/radio",665,7.84
"7583","Cultural leisure",666,2.95
"7584","Domestic work",666,13.66
"7585","Eat drink",666,5.78
"7586","Miscellaneous",666,3.35
"7587","Nonsocial leisure",666,5.6
"7588","Paid work",666,25.34
"7589","Personal care",666,12.92
"7590","Religion and volunteering",666,0.74
"7591","School / Study",666,10.44
"7592","Social leisure",666,7.59
"7593","Sport exercise",666,3.52
"7594","TV/radio",666,8.11
"7595","Cultural leisure",667,2.95
"7596","Domestic work",667,13.69
"7597","Eat drink",667,5.8
"7598","Miscellaneous",667,3.32
"7599","Nonsocial leisure",667,5.6
"7600","Paid work",667,25.37
"7601","Personal care",667,12.89
"7602","Religion and volunteering",667,0.74
"7603","School / Study",667,10.44
"7604","Social leisure",667,7.56
"7605","Sport exercise",667,3.52
"7606","TV/radio",667,8.11
"7607","Cultural leisure",668,2.95
"7608","Domestic work",668,13.71
"7609","Eat drink",668,5.78
"7610","Miscellaneous",668,3.32
"7611","Nonsocial leisure",668,5.6
"7612","Paid work",668,25.37
"7613","Personal care",668,12.89
"7614","Religion and volunteering",668,0.74
"7615","School / Study",668,10.44
"7616","Social leisure",668,7.56
"7617","Sport exercise",668,3.52
"7618","TV/radio",668,8.11
"7619","Cultural leisure",669,2.95
"7620","Domestic work",669,13.69
"7621","Eat drink",669,5.78
"7622","Miscellaneous",669,3.32
"7623","Nonsocial leisure",669,5.6
"7624","Paid work",669,25.37
"7625","Personal care",669,12.87
"7626","Religion and volunteering",669,0.74
"7627","School / Study",669,10.44
"7628","Social leisure",669,7.56
"7629","Sport exercise",669,3.55
"7630","TV/radio",669,8.13
"7631","Cultural leisure",670,2.95
"7632","Domestic work",670,13.69
"7633","Eat drink",670,5.78
"7634","Miscellaneous",670,3.32
"7635","Nonsocial leisure",670,5.6
"7636","Paid work",670,25.37
"7637","Personal care",670,12.84
"7638","Religion and volunteering",670,0.77
"7639","School / Study",670,10.44
"7640","Social leisure",670,7.56
"7641","Sport exercise",670,3.55
"7642","TV/radio",670,8.13
"7643","Cultural leisure",671,3.1
"7644","Domestic work",671,13.79
"7645","Eat drink",671,5.9
"7646","Miscellaneous",671,3.3
"7647","Nonsocial leisure",671,5.45
"7648","Paid work",671,25.39
"7649","Personal care",671,12.37
"7650","Religion and volunteering",671,0.72
"7651","School / Study",671,10.44
"7652","Social leisure",671,7.79
"7653","Sport exercise",671,3.67
"7654","TV/radio",671,8.08
"7655","Cultural leisure",672,3.07
"7656","Domestic work",672,13.79
"7657","Eat drink",672,5.9
"7658","Miscellaneous",672,3.3
"7659","Nonsocial leisure",672,5.43
"7660","Paid work",672,25.39
"7661","Personal care",672,12.4
"7662","Religion and volunteering",672,0.72
"7663","School / Study",672,10.44
"7664","Social leisure",672,7.79
"7665","Sport exercise",672,3.67
"7666","TV/radio",672,8.11
"7667","Cultural leisure",673,3.1
"7668","Domestic work",673,13.79
"7669","Eat drink",673,5.9
"7670","Miscellaneous",673,3.32
"7671","Nonsocial leisure",673,5.45
"7672","Paid work",673,25.37
"7673","Personal care",673,12.37
"7674","Religion and volunteering",673,0.72
"7675","School / Study",673,10.44
"7676","Social leisure",673,7.76
"7677","Sport exercise",673,3.67
"7678","TV/radio",673,8.11
"7679","Cultural leisure",674,3.1
"7680","Domestic work",674,13.79
"7681","Eat drink",674,5.88
"7682","Miscellaneous",674,3.32
"7683","Nonsocial leisure",674,5.43
"7684","Paid work",674,25.37
"7685","Personal care",674,12.42
"7686","Religion and volunteering",674,0.72
"7687","School / Study",674,10.41
"7688","Social leisure",674,7.79
"7689","Sport exercise",674,3.67
"7690","TV/radio",674,8.11
"7691","Cultural leisure",675,3.07
"7692","Domestic work",675,13.81
"7693","Eat drink",675,5.88
"7694","Miscellaneous",675,3.32
"7695","Nonsocial leisure",675,5.43
"7696","Paid work",675,25.37
"7697","Personal care",675,12.42
"7698","Religion and volunteering",675,0.72
"7699","School / Study",675,10.41
"7700","Social leisure",675,7.79
"7701","Sport exercise",675,3.67
"7702","TV/radio",675,8.11
"7703","Cultural leisure",676,3.2
"7704","Domestic work",676,13.98
"7705","Eat drink",676,5.83
"7706","Miscellaneous",676,3.35
"7707","Nonsocial leisure",676,5.75
"7708","Paid work",676,25.39
"7709","Personal care",676,11.65
"7710","Religion and volunteering",676,0.69
"7711","School / Study",676,10.34
"7712","Social leisure",676,7.79
"7713","Sport exercise",676,3.77
"7714","TV/radio",676,8.26
"7715","Cultural leisure",677,3.2
"7716","Domestic work",677,14.01
"7717","Eat drink",677,5.85
"7718","Miscellaneous",677,3.32
"7719","Nonsocial leisure",677,5.75
"7720","Paid work",677,25.39
"7721","Personal care",677,11.63
"7722","Religion and volunteering",677,0.69
"7723","School / Study",677,10.34
"7724","Social leisure",677,7.79
"7725","Sport exercise",677,3.77
"7726","TV/radio",677,8.26
"7727","Cultural leisure",678,3.22
"7728","Domestic work",678,14.03
"7729","Eat drink",678,5.85
"7730","Miscellaneous",678,3.32
"7731","Nonsocial leisure",678,5.73
"7732","Paid work",678,25.37
"7733","Personal care",678,11.6
"7734","Religion and volunteering",678,0.69
"7735","School / Study",678,10.36
"7736","Social leisure",678,7.81
"7737","Sport exercise",678,3.77
"7738","TV/radio",678,8.23
"7739","Cultural leisure",679,3.22
"7740","Domestic work",679,14.06
"7741","Eat drink",679,5.85
"7742","Miscellaneous",679,3.32
"7743","Nonsocial leisure",679,5.73
"7744","Paid work",679,25.37
"7745","Personal care",679,11.55
"7746","Religion and volunteering",679,0.69
"7747","School / Study",679,10.36
"7748","Social leisure",679,7.81
"7749","Sport exercise",679,3.77
"7750","TV/radio",679,8.26
"7751","Cultural leisure",680,3.22
"7752","Domestic work",680,14.03
"7753","Eat drink",680,5.85
"7754","Miscellaneous",680,3.35
"7755","Nonsocial leisure",680,5.73
"7756","Paid work",680,25.37
"7757","Personal care",680,11.55
"7758","Religion and volunteering",680,0.69
"7759","School / Study",680,10.36
"7760","Social leisure",680,7.81
"7761","Sport exercise",680,3.77
"7762","TV/radio",680,8.26
"7763","Cultural leisure",681,3.3
"7764","Domestic work",681,14.43
"7765","Eat drink",681,5.45
"7766","Miscellaneous",681,3.32
"7767","Nonsocial leisure",681,5.6
"7768","Paid work",681,25.42
"7769","Personal care",681,11.11
"7770","Religion and volunteering",681,0.72
"7771","School / Study",681,10.34
"7772","Social leisure",681,7.74
"7773","Sport exercise",681,3.94
"7774","TV/radio",681,8.63
"7775","Cultural leisure",682,3.3
"7776","Domestic work",682,14.41
"7777","Eat drink",682,5.45
"7778","Miscellaneous",682,3.32
"7779","Nonsocial leisure",682,5.6
"7780","Paid work",682,25.42
"7781","Personal care",682,11.08
"7782","Religion and volunteering",682,0.72
"7783","School / Study",682,10.34
"7784","Social leisure",682,7.79
"7785","Sport exercise",682,3.94
"7786","TV/radio",682,8.63
"7787","Cultural leisure",683,3.3
"7788","Domestic work",683,14.33
"7789","Eat drink",683,5.48
"7790","Miscellaneous",683,3.35
"7791","Nonsocial leisure",683,5.63
"7792","Paid work",683,25.42
"7793","Personal care",683,11.08
"7794","Religion and volunteering",683,0.72
"7795","School / Study",683,10.34
"7796","Social leisure",683,7.79
"7797","Sport exercise",683,3.94
"7798","TV/radio",683,8.63
"7799","Cultural leisure",684,3.3
"7800","Domestic work",684,14.33
"7801","Eat drink",684,5.5
"7802","Miscellaneous",684,3.35
"7803","Nonsocial leisure",684,5.63
"7804","Paid work",684,25.42
"7805","Personal care",684,11.03
"7806","Religion and volunteering",684,0.72
"7807","School / Study",684,10.39
"7808","Social leisure",684,7.79
"7809","Sport exercise",684,3.94
"7810","TV/radio",684,8.6
"7811","Cultural leisure",685,3.3
"7812","Domestic work",685,14.28
"7813","Eat drink",685,5.55
"7814","Miscellaneous",685,3.32
"7815","Nonsocial leisure",685,5.6
"7816","Paid work",685,25.42
"7817","Personal care",685,11.03
"7818","Religion and volunteering",685,0.72
"7819","School / Study",685,10.39
"7820","Social leisure",685,7.79
"7821","Sport exercise",685,3.94
"7822","TV/radio",685,8.65
"7823","Cultural leisure",686,3.42
"7824","Domestic work",686,14.28
"7825","Eat drink",686,5.48
"7826","Miscellaneous",686,3.35
"7827","Nonsocial leisure",686,5.65
"7828","Paid work",686,25.51
"7829","Personal care",686,10.84
"7830","Religion and volunteering",686,0.69
"7831","School / Study",686,10.34
"7832","Social leisure",686,7.81
"7833","Sport exercise",686,3.99
"7834","TV/radio",686,8.63
"7835","Cultural leisure",687,3.42
"7836","Domestic work",687,14.28
"7837","Eat drink",687,5.48
"7838","Miscellaneous",687,3.35
"7839","Nonsocial leisure",687,5.65
"7840","Paid work",687,25.51
"7841","Personal care",687,10.81
"7842","Religion and volunteering",687,0.69
"7843","School / Study",687,10.34
"7844","Social leisure",687,7.81
"7845","Sport exercise",687,3.99
"7846","TV/radio",687,8.65
"7847","Cultural leisure",688,3.45
"7848","Domestic work",688,14.28
"7849","Eat drink",688,5.45
"7850","Miscellaneous",688,3.37
"7851","Nonsocial leisure",688,5.68
"7852","Paid work",688,25.51
"7853","Personal care",688,10.76
"7854","Religion and volunteering",688,0.69
"7855","School / Study",688,10.34
"7856","Social leisure",688,7.81
"7857","Sport exercise",688,3.99
"7858","TV/radio",688,8.65
"7859","Cultural leisure",689,3.45
"7860","Domestic work",689,14.31
"7861","Eat drink",689,5.45
"7862","Miscellaneous",689,3.37
"7863","Nonsocial leisure",689,5.65
"7864","Paid work",689,25.51
"7865","Personal care",689,10.76
"7866","Religion and volunteering",689,0.69
"7867","School / Study",689,10.34
"7868","Social leisure",689,7.81
"7869","Sport exercise",689,3.99
"7870","TV/radio",689,8.65
"7871","Cultural leisure",690,3.45
"7872","Domestic work",690,14.31
"7873","Eat drink",690,5.45
"7874","Miscellaneous",690,3.37
"7875","Nonsocial leisure",690,5.65
"7876","Paid work",690,25.54
"7877","Personal care",690,10.76
"7878","Religion and volunteering",690,0.69
"7879","School / Study",690,10.31
"7880","Social leisure",690,7.81
"7881","Sport exercise",690,3.99
"7882","TV/radio",690,8.65
"7883","Cultural leisure",691,3.52
"7884","Domestic work",691,14.51
"7885","Eat drink",691,5.36
"7886","Miscellaneous",691,3.55
"7887","Nonsocial leisure",691,5.95
"7888","Paid work",691,25.71
"7889","Personal care",691,10.04
"7890","Religion and volunteering",691,0.82
"7891","School / Study",691,9.92
"7892","Social leisure",691,8.46
"7893","Sport exercise",691,3.97
"7894","TV/radio",691,8.21
"7895","Cultural leisure",692,3.55
"7896","Domestic work",692,14.48
"7897","Eat drink",692,5.33
"7898","Miscellaneous",692,3.55
"7899","Nonsocial leisure",692,6
"7900","Paid work",692,25.71
"7901","Personal care",692,9.99
"7902","Religion and volunteering",692,0.84
"7903","School / Study",692,9.92
"7904","Social leisure",692,8.48
"7905","Sport exercise",692,3.94
"7906","TV/radio",692,8.21
"7907","Cultural leisure",693,3.55
"7908","Domestic work",693,14.55
"7909","Eat drink",693,5.33
"7910","Miscellaneous",693,3.55
"7911","Nonsocial leisure",693,6.03
"7912","Paid work",693,25.71
"7913","Personal care",693,9.97
"7914","Religion and volunteering",693,0.84
"7915","School / Study",693,9.92
"7916","Social leisure",693,8.43
"7917","Sport exercise",693,3.94
"7918","TV/radio",693,8.18
"7919","Cultural leisure",694,3.55
"7920","Domestic work",694,14.53
"7921","Eat drink",694,5.33
"7922","Miscellaneous",694,3.55
"7923","Nonsocial leisure",694,6.05
"7924","Paid work",694,25.71
"7925","Personal care",694,9.97
"7926","Religion and volunteering",694,0.84
"7927","School / Study",694,9.92
"7928","Social leisure",694,8.43
"7929","Sport exercise",694,3.97
"7930","TV/radio",694,8.16
"7931","Cultural leisure",695,3.55
"7932","Domestic work",695,14.53
"7933","Eat drink",695,5.33
"7934","Miscellaneous",695,3.55
"7935","Nonsocial leisure",695,6.05
"7936","Paid work",695,25.71
"7937","Personal care",695,9.97
"7938","Religion and volunteering",695,0.84
"7939","School / Study",695,9.92
"7940","Social leisure",695,8.43
"7941","Sport exercise",695,3.97
"7942","TV/radio",695,8.16
"7943","Cultural leisure",696,3.6
"7944","Domestic work",696,14.55
"7945","Eat drink",696,5.43
"7946","Miscellaneous",696,3.52
"7947","Nonsocial leisure",696,6.22
"7948","Paid work",696,25.79
"7949","Personal care",696,9.42
"7950","Religion and volunteering",696,0.84
"7951","School / Study",696,9.84
"7952","Social leisure",696,8.63
"7953","Sport exercise",696,4.02
"7954","TV/radio",696,8.13
"7955","Cultural leisure",697,3.62
"7956","Domestic work",697,14.51
"7957","Eat drink",697,5.43
"7958","Miscellaneous",697,3.52
"7959","Nonsocial leisure",697,6.22
"7960","Paid work",697,25.79
"7961","Personal care",697,9.45
"7962","Religion and volunteering",697,0.84
"7963","School / Study",697,9.84
"7964","Social leisure",697,8.63
"7965","Sport exercise",697,4.02
"7966","TV/radio",697,8.13
"7967","Cultural leisure",698,3.6
"7968","Domestic work",698,14.55
"7969","Eat drink",698,5.41
"7970","Miscellaneous",698,3.52
"7971","Nonsocial leisure",698,6.25
"7972","Paid work",698,25.76
"7973","Personal care",698,9.45
"7974","Religion and volunteering",698,0.84
"7975","School / Study",698,9.84
"7976","Social leisure",698,8.6
"7977","Sport exercise",698,4.02
"7978","TV/radio",698,8.16
"7979","Cultural leisure",699,3.6
"7980","Domestic work",699,14.55
"7981","Eat drink",699,5.41
"7982","Miscellaneous",699,3.52
"7983","Nonsocial leisure",699,6.25
"7984","Paid work",699,25.76
"7985","Personal care",699,9.45
"7986","Religion and volunteering",699,0.84
"7987","School / Study",699,9.84
"7988","Social leisure",699,8.6
"7989","Sport exercise",699,4.02
"7990","TV/radio",699,8.16
"7991","Cultural leisure",700,3.6
"7992","Domestic work",700,14.58
"7993","Eat drink",700,5.45
"7994","Miscellaneous",700,3.47
"7995","Nonsocial leisure",700,6.25
"7996","Paid work",700,25.76
"7997","Personal care",700,9.45
"7998","Religion and volunteering",700,0.84
"7999","School / Study",700,9.84
"8000","Social leisure",700,8.6
"8001","Sport exercise",700,4.02
"8002","TV/radio",700,8.13
"8003","Cultural leisure",701,3.62
"8004","Domestic work",701,14.58
"8005","Eat drink",701,5.53
"8006","Miscellaneous",701,3.57
"8007","Nonsocial leisure",701,6.27
"8008","Paid work",701,25.91
"8009","Personal care",701,8.93
"8010","Religion and volunteering",701,0.84
"8011","School / Study",701,9.87
"8012","Social leisure",701,8.83
"8013","Sport exercise",701,4.02
"8014","TV/radio",701,8.03
"8015","Cultural leisure",702,3.6
"8016","Domestic work",702,14.55
"8017","Eat drink",702,5.55
"8018","Miscellaneous",702,3.6
"8019","Nonsocial leisure",702,6.27
"8020","Paid work",702,25.91
"8021","Personal care",702,8.93
"8022","Religion and volunteering",702,0.84
"8023","School / Study",702,9.87
"8024","Social leisure",702,8.85
"8025","Sport exercise",702,4.02
"8026","TV/radio",702,8.01
"8027","Cultural leisure",703,3.6
"8028","Domestic work",703,14.58
"8029","Eat drink",703,5.55
"8030","Miscellaneous",703,3.6
"8031","Nonsocial leisure",703,6.25
